Retransmit,Total,Percentage,Time
140,1513,0.0925313945803,26.913109
135,1472,0.0917119565217,25.648846
141,1511,0.0933156849768,28.951554
134,1495,0.0896321070234,25.923914
116,1445,0.080276816609,26.932836
124,1474,0.0841248303935,24.949025
118,1440,0.0819444444444,23.911862
118,1413,0.0835102618542,24.844121
138,1463,0.0943267259057,35.977819
123,1483,0.0829399865138,26.932530
137,1519,0.0901909150757,26.890538
149,1481,0.100607697502,28.920367
133,1491,0.0892018779343,28.897680
113,1404,0.0804843304843,22.806121
108,1419,0.0761099365751,22.942749
150,1500,0.1,28.723753
116,1434,0.0808926080893,23.915581
154,1509,0.102054340623,30.923454
133,1479,0.0899256254226,28.878619
166,1529,0.108567691302,34.025918
160,1507,0.106171201062,30.749182
149,1486,0.100269179004,36.946484
118,1451,0.0813232253618,22.739714
153,1483,0.103169251517,30.679873
119,1447,0.0822391154112,28.975054
110,1440,0.0763888888889,20.910757
153,1501,0.101932045303,33.776845
129,1471,0.0876954452753,24.895020
149,1474,0.101085481682,27.913515
133,1478,0.0899864682003,26.139372
