Retransmit,Total,Percentage,Time
179,1555,0.115112540193,37.964874
106,1378,0.0769230769231,24.944392
134,1504,0.0890957446809,28.931340
153,1474,0.103799185889,29.952451
121,1427,0.0847932725999,27.013291
154,1511,0.101919258769,34.819882
148,1506,0.0982735723772,33.815551
132,1469,0.0898570456093,26.936581
140,1491,0.093896713615,27.950174
132,1467,0.0899795501022,30.005818
163,1527,0.106745252128,35.145364
125,1446,0.0864453665284,25.938128
116,1465,0.079180887372,30.928307
136,1475,0.0922033898305,39.932149
149,1519,0.0980908492429,30.895892
152,1493,0.101808439384,47.006271
124,1450,0.0855172413793,24.940266
142,1497,0.0948563794255,32.947105
169,1518,0.111330698287,36.927525
133,1477,0.0900473933649,29.951743
134,1462,0.0916552667579,26.917825
151,1524,0.0990813648294,30.889693
127,1490,0.0852348993289,26.933647
140,1448,0.0966850828729,30.909750
143,1518,0.0942028985507,30.815778
121,1490,0.0812080536913,26.916948
174,1556,0.111825192802,32.929931
194,1581,0.122707147375,41.943742
153,1519,0.100724160632,30.934098
136,1425,0.0954385964912,28.947650
