Retransmit,Total,Percentage,Time
131,1389,0.0943124550036,12.966793
105,1302,0.0806451612903,12.613940
126,1435,0.0878048780488,11.877042
132,1491,0.0885311871227,13.836706
117,1373,0.0852148579752,10.980152
121,1275,0.0949019607843,13.991279
151,1465,0.103071672355,14.051809
118,1417,0.0832745236415,7.941866
150,1510,0.0993377483444,14.832196
128,1448,0.0883977900552,9.916550
149,1508,0.0988063660477,12.850757
138,1409,0.0979418026969,11.886754
145,1523,0.0952068286277,13.102029
122,1406,0.0867709815078,11.881579
116,1473,0.0787508486083,7.985260
113,1355,0.0833948339483,8.045120
149,1469,0.101429543907,15.078519
131,1441,0.0909090909091,11.939492
122,1373,0.0888565185725,9.895777
147,1517,0.0969017798286,17.973146
93,1443,0.0644490644491,6.005349
114,1453,0.0784583620096,10.104901
99,1333,0.0742685671418,6.973159
142,1528,0.0929319371728,13.145351
148,1375,0.107636363636,22.893847
129,1438,0.0897079276773,11.084062
127,1486,0.085464333782,11.891681
134,1386,0.0966810966811,12.093180
126,1507,0.0836098208361,9.796800
119,1432,0.0831005586592,18.004212
